City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,Riyadh,24.6877,46.7219,84.34,20,0,6.44,SA,2021-09-19 21:27:11
231,Fortuna,40.5982,-124.1573,72.43,62,40,4.0,US,2021-09-19 21:29:03
232,Upernavik,72.7868,-56.1549,25.63,59,59,5.97,GL,2021-09-19 21:29:03
233,Havre-Saint-Pierre,50.2334,-63.5986,55.76,71,1,13.8,CA,2021-09-19 21:24:55
234,Tilichiki,60.4667,166.1,45.55,77,100,2.37,RU,2021-09-19 21:24:42
235,Hasaki,35.7333,140.8333,63.0,70,63,17.0,JP,2021-09-19 21:29:04
236,Bloemfontein,-29.1211,26.214,56.68,62,65,1.14,ZA,2021-09-19 21:26:56
237,Belaya Gora,68.5333,146.4167,26.37,74,100,11.9,RU,2021-09-19 21:29:04
238,Olafsvik,64.8945,-23.7142,48.99,82,100,17.76,IS,2021-09-19 21:29:04
239,Severo-Kurilsk,50.6789,156.125,50.16,96,100,15.9,RU,2021-09-19 21:29:04
240,Ulladulla,-35.35,150.4667,50.9,52,0,8.66,AU,2021-09-19 21:29:05
241,Santana Do Livramento,-30.8908,-55.5328,71.2,91,80,8.12,BR,2021-09-19 21:29:05
242,Woodstock,43.1334,-80.7497,76.42,50,0,1.01,CA,2021-09-19 21:29:05
243,Esteio,-29.8614,-51.1792,71.58,89,75,11.5,BR,2021-09-19 21:29:05
244,Antofagasta,-23.65,-70.4,58.28,74,27,9.8,CL,2021-09-19 21:25:14
245,Antalaha,-14.9003,50.2788,69.85,86,100,10.07,MG,2021-09-19 21:29:06
246,Port Macquarie,-31.4333,152.9167,49.96,55,0,3.91,AU,2021-09-19 21:29:06
247,Santa Isabel Do Rio Negro,-0.4139,-65.0192,85.01,68,96,0.96,BR,2021-09-19 21:29:06
248,Lodwar,3.1191,35.5973,86.2,41,10,4.41,KE,2021-09-19 21:29:07
249,Saint-Pierre,-21.3393,55.4781,64.08,68,75,10.36,RE,2021-09-19 21:29:07
250,Kovernino,57.1253,43.8142,35.87,81,88,8.3,RU,2021-09-19 21:29:07
251,Ginda,30.6945,78.4932,65.97,96,98,0.6,IN,2021-09-19 21:29:07
252,Maragogi,-9.0122,-35.2225,75.07,77,63,9.37,BR,2021-09-19 21:29:08
253,Bumbuna,9.05,-11.7333,73.06,99,69,1.81,SL,2021-09-19 21:29:08
254,Sao Joao Da Barra,-21.6403,-41.0511,75.29,86,14,11.45,BR,2021-09-19 21:29:08
255,Ilhabela,-23.7781,-45.3581,71.56,93,32,6.46,BR,2021-09-19 21:29:09
256,Skegness,53.1436,0.3363,62.35,94,100,4.74,GB,2021-09-19 21:29:09
257,Aksu,41.1231,80.2644,72.23,23,0,3.94,CN,2021-09-19 21:29:09
258,Malanje,-9.5402,16.341,71.64,69,100,5.21,AO,2021-09-19 21:29:10
259,La Ronge,55.1001,-105.2842,57.45,51,75,9.22,CA,2021-09-19 21:26:37
260,Siderno,38.2779,16.302,80.55,70,0,10.8,IT,2021-09-19 21:29:10
261,Chitral,35.8462,71.7858,72.07,72,51,2.44,PK,2021-09-19 21:29:10
262,Blackwater,-23.5833,148.8833,63.19,69,0,7.16,AU,2021-09-19 21:29:11
263,Tsabong,-26.0217,22.401,70.97,20,95,4.85,BW,2021-09-19 21:29:11
264,Nago,26.5881,127.9761,77.85,69,68,1.45,JP,2021-09-19 21:29:11
265,Bourail,-21.5667,165.4833,69.8,56,0,5.1,NC,2021-09-19 21:29:12
266,Flinders,-34.5833,150.8552,57.79,50,0,6.76,AU,2021-09-19 21:29:12
267,Inongo,-1.95,18.2667,67.6,94,97,3.49,CD,2021-09-19 21:29:13
268,Mar Del Plata,-38.0023,-57.5575,57.22,100,90,9.22,AR,2021-09-19 21:29:10
269,Vanimo,-2.6741,141.3028,77.31,84,100,3.27,PG,2021-09-19 21:29:13
270,Iqaluit,63.7506,-68.5145,35.33,75,40,19.57,CA,2021-09-19 21:29:13
271,Batagay-Alyta,67.8006,130.4114,22.03,92,86,3.71,RU,2021-09-19 21:29:13
272,Grootfontein,-19.5667,18.1167,77.29,25,38,4.25,NA,2021-09-19 21:29:14
273,Leh,34.1667,77.5833,59.86,32,0,2.98,IN,2021-09-19 21:27:03
274,Soyo,-6.1349,12.3689,74.44,75,82,7.87,AO,2021-09-19 21:24:30
275,Dapaong,10.8639,0.205,77.0,82,11,4.72,TG,2021-09-19 21:29:14
276,Sabang,5.8933,95.3214,78.85,82,100,24.83,ID,2021-09-19 21:29:14
277,Coswig,51.1333,13.5833,53.01,82,75,1.14,DE,2021-09-19 21:29:15
278,Lazaro Cardenas,17.9583,-102.2,86.95,63,82,3.24,MX,2021-09-19 21:29:15
279,Mazagao,-0.115,-51.2894,89.65,75,92,8.16,BR,2021-09-19 21:29:15
280,Mega,4.05,38.3,67.68,46,37,11.63,ET,2021-09-19 21:29:15
281,Buckeye,33.3703,-112.5838,102.15,22,0,6.91,US,2021-09-19 21:29:16
282,Dikson,73.5069,80.5464,36.01,79,100,18.25,RU,2021-09-19 21:29:16
283,Livingston,55.9029,-3.5226,52.21,90,0,5.75,GB,2021-09-19 21:29:16
284,Castro,-24.7911,-50.0119,67.24,91,48,8.46,BR,2021-09-19 21:29:17
285,Vestmanna,62.1564,-7.1664,49.12,100,75,9.22,FO,2021-09-19 21:29:17
286,Bilma,18.6853,12.9164,90.23,13,22,5.88,NE,2021-09-19 21:29:17
