,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Nanortalik,GL,60.1432,-45.2371,37.54,70,2,10.96,clear sky
333,Porbandar,IN,21.6422,69.6093,81.03,88,98,14.36,overcast clouds
334,Kathmandu,NP,27.7167,85.3167,68.22,100,75,2.3,broken clouds
335,Afua,BR,-0.1567,-50.3867,78.35,84,83,6.78,broken clouds
336,Chuguyevka,RU,44.1653,133.8633,56.86,89,100,2.68,light rain
337,Roald,NO,62.5833,6.1333,53.74,82,100,19.57,moderate rain
338,Te Anau,NZ,-45.4167,167.7167,44.91,96,100,3.42,heavy intensity rain
339,Benguela,AO,-12.5763,13.4055,71.51,83,78,5.37,broken clouds
340,Pinotepa Nacional,MX,16.3167,-98.0167,80.85,79,87,4.03,overcast clouds
341,Vypolzovo,RU,57.8767,33.6986,37.99,92,100,11.39,light rain
342,Tagusao,PH,9.1924,117.8141,79.72,76,80,3.87,broken clouds
343,Sabha,LY,27.0377,14.4283,82.74,19,0,11.25,clear sky
344,Sumbe,AO,-11.2061,13.8437,71.26,88,49,6.06,scattered clouds
